Categoría,Imagen,Código,Nombre,Rango de Cantidad 1,Precio 1,Rango de Cantidad 2,Precio 2,Rango de Cantidad 3,Precio 3
Herramientas,https://www.herramientasyconexiones.com/productos/m/1726788960-97.jpg,W21014,Cinta métrica 30 mts fibra de vidrio , 1 a 2,$92.50, 3  a 5,$86.90, 6 o más,$82.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1726788960-97.jpg,W21015,Cinta métrica 50 mts fibra de vidrio , 1 a 2,$134.70, 3  a 5,$126.60, 6 o más,$120.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1718033993-46.jpg,30325,CORTADOR DE AZULEJO  300 MM , 1 a 2,$329.60, 3  a 5,$309.90, 6 o más,$295.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1611185726-130.jpg,30588,Cortatubo pinza 1-5 8pulg , 1 a 11,$66.30, 12  a 23,$62.30, 24 o más,$59.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1718036610-9.jpg,3003R,Cuchara para albañil 10 pulg , 1 a 23,$25.50, 24  a 47,$23.90, 48 o más,$22.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1718036610-9.jpg,3003R,Cuchara para albañil 10 pulg , 1 a 23,$25.50, 24  a 47,$23.90, 48 o más,$22.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1641314901-118.jpg,3004R,Cuchara para albañil 11 pulg , 1 a 23,$27.00, 24  a 47,$25.40, 48 o más,$24.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1641931328-63.jpg,3001R,Cuchara para albañil 6 pulg , 1 a 23,$17.70, 24  a 47,$16.60, 48 o más,$15.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1641314901-118.jpg,3002R,Cuchara para albañil 9 pulg , 1 a 23,$21.30, 24  a 47,$19.90, 48 o más,$18.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1692983524-129.jpg,339,Cutter 1 filo navaja 100 pzas , 1 a 5,$53.20, 6 o más,$51.00,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1746223804-50.jpg,F0036,Cutter con repuestos de navaja , 1 a 23,$17.30, 24  a 47,$16.30, 48 o más,$15.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1726785791-114.jpg,68714,Cutter plástico varios colores exhibidor con 12 pzas , 1 a 11,$41.20, 12  a 23,$38.80, 24 o más,$36.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1737500962-33.jpg,12103,Cutter plegable de ABS resistente , 1 a 11,$29.90, 12  a 23,$28.20, 24 o más,$26.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1745679226-77.jpg,33422,Cutter plegadizo , 1 a 5,$40.20, 6  a 11,$37.80, 12 o más,$36.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1737500884-75.jpg,12105,Cutter profesional reforzado 9mm , 1 a 11,$13.60, 12  a 23,$12.80, 24 o más,$12.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1665069467-53.jpg,347,Cutter repuesto paq. 10 pzas ,1 ó más,$11.50,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1669927551-102.jpg,346,Cutter repuesto paq. 10 pzas 18 mm ,1 ó más,$10.90,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1669927592-54.jpg,345,Cutter repuesto paq. 10 pzas 9 mm ,1 ó más,$7.30,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1725375739-111.jpg,419,cutter retractil ALUMINIO 6 pulg , 1 a 11,$21.90, 12 o más,$20.90,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1709064149-48.jpg,30590,cutter retractil reforzado con 5 repuestos con ajustador , 1 a 11,$31.10, 12  a 23,$29.20, 24 o más,$27.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1724691404-27.jpg,DESA1003,Desarmador 4 puntas IMANTADO , 1 a 11,$19.30, 12  a 23,$18.20, 24 o más,$17.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1774463980-113.jpg,67727,DESARMADOR CON PUNTAS INTERCAMBIABLES 16 PZAS , 1 a 23,$17.10, 24  a 47,$16.20, 48 o más,$15.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/373502600-85.jpg,30093,desarmador DOBLE PUNTA 1/4x4 pulg , 1 a 23,$12.90, 24  a 47,$12.20, 48 o más,$11.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1667258843-96.jpg,DESA1033,Desarmador doble y punta CON MATRACA 4 pulg , 1 a 11,$23.30, 12  a 23,$21.90, 24 o más,$20.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1744395148-19.jpg,DESA1013,Desarmador jgo 2 pzas , 1 a 5,$25.20, 6  a 11,$23.70, 12 o más,$22.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1750889142-53.jpg,F0054,Desarmador jgo con puntas intercambiables , 1 a 11,$13.40, 12  a 23,$12.60, 24 o más,$11.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1744643370-56.jpg,30741,Desarmador jgo puntas y dados 16 piezas , 1 a 2,$104.50, 3  a 5,$98.30, 6 o más,$93.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1758134538-98.jpg,P0861,desarmador joyero jgo con 6 pzas  , 1 a 11,$15.40, 12 o más,$14.60,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1736793611-88.jpg,33598,Desarmador juego 3 pzas PROBADOR DE CORRIENTE , 1 a 5,$44.20, 6  a 11,$41.60, 12 o más,$39.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1655924480-13.jpg,30693,Desarmador juego 34 pzas intercambiables , 1 a 5,$89.80, 6  a 11,$84.40, 12 o más,$80.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1655924480-13.jpg,30693,Desarmador juego 34 pzas intercambiables , 1 a 5,$89.80, 6  a 11,$84.40, 12 o más,$80.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1755795506-9.jpg,30739,Desarmador juego 8 pza puntas y dados intercambiables , 1 a 5,$51.30, 6  a 11,$48.20, 12 o más,$45.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1734192040-33.jpg,F0099,Desarmador juego con diferentes puntas , 1 a 11,$44.00, 12  a 23,$41.40, 24 o más,$39.40
